match_number,team1,team2,Season,Year,match_date,toss_winner,toss_decision,result,winner,player_of_match,venue,city,team1_players,team2_players,toss_match_winner
1473511,Royal Challengers Bangalore,Punjab Kings,Ipl-2025,2025,2025-03-06,Punjab Kings,Field,Win,Royal Challengers Bangalore,Kh Pandya,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"Suyash Sharma, Pd Salt, V Kohli, Ma Agarwal, Rm Patidar, Ls Livingstone, Jm Sharma, R Shepherd, Kh Pandya, B Kumar, Yash Dayal, Jr Hazlewood","Ys Chahal, Priyansh Arya, P Simran Singh, Jp Inglis, Ss Iyer, N Wadhera, Shashank Singh, Mp Stoinis, Azmatullah Omarzai, Ka Jamieson, Vijaykumar Vyshak, Arshdeep Singh",False
1473510,Mumbai Indians,Punjab Kings,Ipl-2025,2025,2025-01-06,Punjab Kings,Field,Win,Punjab Kings,Ss Iyer,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"Ashwani Kumar, Rg Sharma, Jm Bairstow, Tilak Varma, Sa Yadav, Hh Pandya, Naman Dhir, Ra Bawa, Mj Santner, Ta Boult, Jj Bumrah, Rjw Topley","Ys Chahal, Priyansh Arya, P Simran Singh, Jp Inglis, Ss Iyer, N Wadhera, Shashank Singh, Mp Stoinis, Azmatullah Omarzai, Vijaykumar Vyshak, Ka Jamieson, Arshdeep Singh",True
1473509,Mumbai Indians,Gujarat Titans,Ipl-2025,2025,2025-05-30,Mumbai Indians,Bat,Win,Mumbai Indians,Rg Sharma,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,"Ashwani Kumar, Rg Sharma, Jm Bairstow, Sa Yadav, Tilak Varma, Hh Pandya, Naman Dhir, Mj Santner, Ra Bawa, Ta Boult, Jj Bumrah, Rj Gleeson","Mohammed Siraj, B Sai Sudharsan, Shubman Gill, Bkg Mendis, Washington Sundar, Se Rutherford, R Tewatia, M Shahrukh Khan, Rashid Khan, R Sai Kishore, G Coetzee, M Prasidh Krishna",True
1473508,Punjab Kings,Royal Challengers Bangalore,Ipl-2025,2025,2025-05-29,Royal Challengers Bangalore,Field,Win,Royal Challengers Bangalore,Suyash Sharma,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,"Priyansh Arya, P Simran Singh, Jp Inglis, Ss Iyer, N Wadhera, Mp Stoinis, Shashank Singh, Musheer Khan, Azmatullah Omarzai, Harpreet Brar, Ka Jamieson, Arshdeep Singh","Suyash Sharma, Pd Salt, V Kohli, Ma Agarwal, Rm Patidar, Ls Livingstone, Jm Sharma, R Shepherd, Kh Pandya, B Kumar, Yash Dayal, Jr Hazlewood",True
1473507,Lucknow Super Giants,Royal Challengers Bangalore,Ipl-2025,2025,2025-05-27,Royal Challengers Bangalore,Field,Win,Royal Challengers Bangalore,Jm Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"Akash Singh, Mr Marsh, Mp Breetzke, Rr Pant, N Pooran, Abdul Samad, A Badoni, Himmat Singh, Shahbaz Ahmed, Ds Rathi, Avesh Khan, W O'Rourke","Suyash Sharma, Pd Salt, V Kohli, Rm Patidar, Ls Livingstone, Ma Agarwal, Jm Sharma, R Shepherd, Kh Pandya, B Kumar, Yash Dayal, N Thushara",True
1473506,Mumbai Indians,Punjab Kings,Ipl-2025,2025,2025-05-26,Punjab Kings,Field,Win,Punjab Kings,Jp Inglis,"Sawai Mansingh Stadium, Jaipur",Jaipur,"Ashwani Kumar, Rd Rickelton, Rg Sharma, Sa Yadav, Tilak Varma, Wg Jacks, Hh Pandya, Naman Dhir, Mj Santner, Dl Chahar, Ta Boult, Jj Bumrah","Vijaykumar Vyshak, Priyansh Arya, P Simran Singh, Jp Inglis, Ss Iyer, N Wadhera, Shashank Singh, Mp Stoinis, M Jansen, Harpreet Brar, Ka Jamieson, Arshdeep Singh",True
1473504,Chennai Super Kings,Gujarat Titans,Ipl-2025,2025,2025-05-25,Chennai Super Kings,Bat,Win,Chennai Super Kings,D Brevis,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"M Pathirana, A Mhatre, Dp Conway, Urvil Patel, S Dube, D Brevis, Ra Jadeja, Ms Dhoni, Dj Hooda, Noor Ahmad, A Kamboj, Kk Ahmed","M Prasidh Krishna, B Sai Sudharsan, Shubman Gill, Jc Buttler, Se Rutherford, M Shahrukh Khan, R Tewatia, Rashid Khan, G Coetzee, Arshad Khan, R Sai Kishore, Mohammed Siraj",True
1473505,Sunrisers Hyderabad,Kolkata Knight Riders,Ipl-2025,2025,2025-05-25,Sunrisers Hyderabad,Bat,Win,Sunrisers Hyderabad,H Klaasen,"Arun Jaitley Stadium, Delhi",Delhi,"Harsh Dubey, Abhishek Sharma, Tm Head, H Klaasen, Ishan Kishan, Aniket Verma, Nithish Kumar Reddy, A Manohar, Pj Cummins, Hv Patel, Jd Unadkat, E Malinga","Cv Varun, Q De Kock, Sp Narine, Am Rahane, A Raghuvanshi, Rk Singh, Ad Russell, Mk Pandey, Ramandeep Singh, Harshit Rana, Vg Arora, A Nortje",True
1485779,Punjab Kings,Delhi Capitals,Ipl-2025,2025,2025-05-24,Delhi Capitals,Field,Win,Delhi Capitals,Sameer Rizvi,"Sawai Mansingh Stadium, Jaipur",Jaipur,"P Dubey, Priyansh Arya, P Simran Singh, Jp Inglis, Ss Iyer, N Wadhera, Shashank Singh, Mp Stoinis, Azmatullah Omarzai, M Jansen, Harpreet Brar, Arshdeep Singh","Mukesh Kumar, Kl Rahul, F Du Plessis, Kk Nair, Sediqullah Atal, Sameer Rizvi, T Stubbs, Ashutosh Sharma, V Nigam, Kuldeep Yadav, Mm Sharma, Mustafizur Rahman",True
1473503,Sunrisers Hyderabad,Royal Challengers Bangalore,Ipl-2025,2025,2025-05-23,Royal Challengers Bangalore,Field,Win,Sunrisers Hyderabad,Ishan Kishan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,"Abhishek Sharma, Tm Head, Ishan Kishan, H Klaasen, Aniket Verma, Nithish Kumar Reddy, A Manohar, Pj Cummins, Hv Patel, Jd Unadkat, E Malinga, Harsh Dubey","Pd Salt, V Kohli, Ma Agarwal, Rm Patidar, Jm Sharma, R Shepherd, Kh Pandya, Th David, B Kumar, Yash Dayal, L Ngidi, Suyash Sharma",False
